korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
지치,지치다 ,{'$date': {'$numberLong': '1599430742443'}},get exhausted,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 87},['5f53fc3cceceb9573eaf8788']
꽃망울,꽃망울 ,{'$date': {'$numberLong': '1599430742443'}},flower bud,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 88},['5f53fc3cceceb9573eaf8788']
터뜨리,터뜨리다 ,{'$date': {'$numberLong': '1599430742443'}},burst out,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 89},['5f53fc3cceceb9573eaf8788']
사방,사방 ,{'$date': {'$numberLong': '1599430742443'}},"four directions, all around",四方,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 90},['5f53fc3cceceb9573eaf8788']
불어오,불어오다 ,{'$date': {'$numberLong': '1599430742443'}},come blowing in,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 91},['5f53fc3cceceb9573eaf8788']
방향,방향 ,{'$date': {'$numberLong': '1599430742443'}},fragrance,芳香,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 92},['5f53fc3cceceb9573eaf8788']
호흡이,호흡 ,{'$date': {'$numberLong': '1599430742443'}},breathing ,呼吸,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 93},['5f53fc3cceceb9573eaf8788']
탁하,탁하다 ,{'$date': {'$numberLong': '1599430742443'}},"be raspy (voice); muddy, murky",濁,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 94},['5f53fc3cceceb9573eaf8788']
지경,지경 ,{'$date': {'$numberLong': '1599430742443'}},"a situation, condition",地境,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 95},['5f53fc3cceceb9573eaf8788']
워낙,워낙 ,{'$date': {'$numberLong': '1599430742443'}},by nature; so (very),,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 96},['5f53fc3cceceb9573eaf8788']
관광객,관광객 ,{'$date': {'$numberLong': '1599430742443'}},tourists,觀光客,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 97},['5f53fc3cceceb9573eaf8788']
드물,드물다 ,{'$date': {'$numberLong': '1599430742443'}},"be rare, uncommon, unusual",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 98},['5f53fc3cceceb9573eaf8788']
한사 ,한사 ,{'$date': {'$numberLong': '1599430742443'}},cold temple,寒寺,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 99},['5f53fc3cceceb9573eaf8788']
